
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2025-08-11 15:08:43 /build/assets/profile-DJ_KTcVZ.js ............ ~ 0.06ms
  2025-08-11 15:08:43 /build/assets/label-S_LRHMnV.js .............. ~ 0.34ms
  2025-08-11 15:08:43 /build/assets/layout-BiQhACl-.js ............. ~ 0.69ms
  2025-08-11 15:08:43 /build/assets/transition-CJqMo5hy.js ......... ~ 0.97ms
  2025-08-11 15:08:49 /settings/appearance ......................... ~ 0.13ms
  2025-08-11 15:08:49 /settings/appearance ....................... ~ 500.36ms
  2025-08-11 15:08:49 /build/assets/appearance-CppWSCZv.js ....... ~ 500.91ms
  2025-08-11 15:08:53 /settings/password ........................... ~ 0.12ms
  2025-08-11 15:08:53 /settings/password ........................... ~ 0.05ms
  2025-08-11 15:08:53 /build/assets/password-CogjZqF8.js ........... ~ 0.59ms
  2025-08-11 15:08:54 /settings/profile ............................ ~ 0.15ms
  2025-08-11 15:08:55 /settings/profile ............................ ~ 0.04ms
  2025-08-11 15:08:56 /dashboard ................................. ~ 500.38ms
  2025-08-11 15:08:56 /dashboard ................................... ~ 0.04ms
  2025-08-11 15:09:16 /build/assets/app-DE2WfZp_.css ............... ~ 0.15ms
